
date,sport,home_team,away_team,home_score,away_score
2025-08-16,football,Arsenal,Chelsea,2,0
2025-08-17,football,Liverpool,Manchester City,2,2
2025-08-20,football,Real Madrid,Barcelona,3,1
2025-08-21,football,Bayern Munich,Borussia Dortmund,2,1
2025-08-27,football,Chelsea,Liverpool,1,2
2025-08-28,football,Manchester City,Arsenal,1,1
2025-09-03,football,Barcelona,Bayern Munich,2,2
2025-09-04,football,Borussia Dortmund,Real Madrid,1,3
2025-09-10,football,Arsenal,Liverpool,1,1
2025-09-11,football,Chelsea,Manchester City,0,2
2025-09-17,football,Real Madrid,Bayern Munich,2,1
2025-09-18,football,Barcelona,Borussia Dortmund,2,0
2025-09-24,football,Liverpool,Barcelona,3,2
2025-09-25,football,Manchester City,Real Madrid,2,1
2025-10-01,football,Bayern Munich,Arsenal,1,2
2025-10-02,football,Borussia Dortmund,Chelsea,1,1
2025-10-08,football,Arsenal,Real Madrid,2,2
2025-10-09,football,Liverpool,Bayern Munich,2,0
2025-10-15,football,Manchester City,Barcelona,3,1
2025-10-16,football,Chelsea,Borussia Dortmund,2,1
2025-10-22,football,Real Madrid,Liverpool,1,1
2025-10-23,football,Bayern Munich,Manchester City,2,2
2025-10-29,football,Barcelona,Arsenal,1,2
2025-10-30,football,Borussia Dortmund,Bayern Munich,0,2
2025-11-01,basketball,Boston Celtics,Los Angeles Lakers,118,106
2025-11-02,basketball,Denver Nuggets,Golden State Warriors,112,108
2025-11-03,basketball,Dallas Mavericks,Phoenix Suns,121,116
2025-11-04,basketball,Milwaukee Bucks,Miami Heat,109,103
2025-11-08,basketball,Los Angeles Lakers,Denver Nuggets,111,115
2025-11-09,basketball,Golden State Warriors,Boston Celtics,104,113
2025-11-10,basketball,Phoenix Suns,Milwaukee Bucks,117,120
2025-11-11,basketball,Miami Heat,Dallas Mavericks,106,112
2025-11-15,basketball,Boston Celtics,Denver Nuggets,116,110
2025-11-16,basketball,Golden State Warriors,Los Angeles Lakers,119,114
2025-11-17,basketball,Dallas Mavericks,Milwaukee Bucks,124,119
2025-11-18,basketball,Phoenix Suns,Miami Heat,108,101
2025-11-22,basketball,Denver Nuggets,Dallas Mavericks,117,114
2025-11-23,basketball,Los Angeles Lakers,Boston Celtics,107,121
2025-11-24,basketball,Milwaukee Bucks,Golden State Warriors,115,111
2025-11-25,basketball,Miami Heat,Phoenix Suns,103,107
2025-11-29,basketball,Boston Celtics,Dallas Mavericks,122,118
2025-11-30,basketball,Denver Nuggets,Milwaukee Bucks,113,109
2025-12-01,basketball,Golden State Warriors,Phoenix Suns,116,112
2025-12-02,basketball,Los Angeles Lakers,Miami Heat,110,104
